cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
hrs,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,48433,15060,1697,35120,1154,12067,476,1246,67,ESTIMABLE
hrs,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,58335,17698,1115,41698,727,15024,340,1613,48,ESTIMABLE
hrs,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,54807,17320,5070,39892,3192,13505,1681,1410,197,ESTIMABLE
hrs,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,63473,19092,10020,44962,6938,16704,2757,1807,325,ESTIMABLE
hrs,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,73329,21352,4594,50977,2398,20083,1905,2269,291,ESTIMABLE
hrs,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,47438,14978,2333,34085,1601,12055,648,1298,84,ESTIMABLE
hrs,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,23995,8193,2284,17856,1639,5569,576,570,69,ESTIMABLE
hrs,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,51392,16503,3630,37431,2303,12680,1202,1281,125,ESTIMABLE
hrs,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,56912,17858,4800,40544,2919,14797,1696,1571,185,ESTIMABLE
hrs,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,55991,15248,1896,40225,1285,14257,535,1509,76,ESTIMABLE
hrs,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,67128,17915,1297,47590,837,17611,408,1927,52,ESTIMABLE
hrs,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,63017,17575,5753,45523,3599,15804,1920,1690,234,ESTIMABLE
hrs,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,73106,19335,11418,51349,7869,19584,3168,2173,381,ESTIMABLE
hrs,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,83945,21593,5165,57878,2648,23375,2183,2692,334,ESTIMABLE
hrs,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,54564,15186,2661,38889,1819,14110,742,1565,100,ESTIMABLE
hrs,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,27684,8303,2618,20430,1870,6564,666,690,82,ESTIMABLE
hrs,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,59028,16793,4141,42666,2599,14818,1386,1544,156,ESTIMABLE
hrs,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,65474,18199,5514,46248,3307,17330,1980,1896,227,ESTIMABLE
