cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
klosa,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,13243,4606,384,9309,247,3653,126,281,11,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,15611,5310,191,10917,129,4378,58,316,4,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,16279,5520,352,11383,200,4561,139,335,13,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,16556,5596,1646,11469,1157,4724,456,363,33,ESTIMABLE
klosa,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,17348,5847,614,11882,304,5065,278,401,32,ESTIMABLE
klosa,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,15004,5121,200,10479,133,4200,63,325,4,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,8949,3266,597,6405,440,2361,148,183,9,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,15323,5356,863,10785,547,4236,298,302,18,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,16561,5596,998,11474,619,4724,356,363,23,ESTIMABLE
klosa,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,13243,4606,384,9309,247,3653,126,281,11,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,15611,5310,191,10917,129,4378,58,316,4,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,16279,5520,352,11383,200,4561,139,335,13,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,16556,5596,1646,11469,1157,4724,456,363,33,ESTIMABLE
klosa,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,17348,5847,614,11882,304,5065,278,401,32,ESTIMABLE
klosa,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,15004,5121,200,10479,133,4200,63,325,4,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,8949,3266,597,6405,440,2361,148,183,9,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,15323,5356,863,10785,547,4236,298,302,18,NOT_EVALUABLE_CATEGORY_SUPPORT
klosa,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,16561,5596,998,11474,619,4724,356,363,23,ESTIMABLE
