cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
mhas,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,0,0,0,0,0,0,0,0,0,NOT_EVALUABLE_CATEGORY_SUPPORT
mhas,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,12034,6778,753,4841,304,5683,352,1510,97,ESTIMABLE
mhas,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,15307,8535,272,6010,92,7366,144,1931,36,ESTIMABLE
mhas,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,13066,7650,1917,5338,638,6152,1013,1576,266,ESTIMABLE
mhas,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,15720,8757,3463,6127,1327,7581,1651,2012,485,ESTIMABLE
mhas,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,18569,10497,2143,7076,663,9049,1137,2444,343,ESTIMABLE
mhas,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,14508,8300,914,5717,337,6923,436,1868,141,ESTIMABLE
mhas,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,6734,4056,1267,2838,527,3053,575,843,165,ESTIMABLE
mhas,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,12014,7220,1224,4870,355,5686,680,1458,189,ESTIMABLE
mhas,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,12915,7591,1397,5080,382,6218,791,1617,224,ESTIMABLE
