cohort,scope,outcome_id,outcome_coding_status,n,people,events,loss_0_n,loss_0_events,loss_1_n,loss_1_events,loss_2plus_n,loss_2plus_events,score_support
share,comparable_22_30_months,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,51749,29779,1510,39082,1037,11425,413,1242,60,ESTIMABLE
share,comparable_22_30_months,incident_stroke,PASS_BASELINE_FREE_RISK_SET,57656,33234,1233,43257,847,12984,339,1415,47,ESTIMABLE
share,comparable_22_30_months,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,56094,32910,4042,42666,2745,12155,1159,1273,138,ESTIMABLE
share,comparable_22_30_months,multimorbidity_progression,PASS_STRICT_COMMON_SIX,61982,35514,12609,46198,9220,14215,3030,1569,359,ESTIMABLE
share,comparable_22_30_months,mortality,PASS_SOURCE_STATUS,75177,43617,3354,55337,1845,17791,1284,2049,225,ESTIMABLE
share,comparable_22_30_months,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,49091,28581,2480,37137,1789,10783,610,1171,81,ESTIMABLE
share,comparable_22_30_months,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,27732,16671,3252,21213,2403,5902,763,617,86,ESTIMABLE
share,comparable_22_30_months,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,57980,33568,3385,44146,2248,12491,978,1343,159,ESTIMABLE
share,comparable_22_30_months,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,61837,35433,4252,46072,2634,14198,1416,1567,202,ESTIMABLE
share,all_primary_wave_intervals,incident_diabetes,PASS_BASELINE_FREE_RISK_SET,63630,31707,1981,48216,1380,13903,521,1511,80,ESTIMABLE
share,all_primary_wave_intervals,incident_stroke,PASS_BASELINE_FREE_RISK_SET,70774,35215,1597,53320,1123,15743,416,1711,58,ESTIMABLE
share,all_primary_wave_intervals,incident_any_adl,PASS_STRICT_COMPLETE_ITEM_COUNTS,68990,34979,5218,52643,3580,14788,1451,1559,187,ESTIMABLE
share,all_primary_wave_intervals,multimorbidity_progression,PASS_STRICT_COMMON_SIX,75993,37496,16072,56869,11831,17227,3789,1897,452,ESTIMABLE
share,all_primary_wave_intervals,mortality,PASS_SOURCE_STATUS,95846,47811,4433,70729,2493,22541,1664,2576,276,ESTIMABLE
share,all_primary_wave_intervals,incident_heart_disease,PASS_BASELINE_FREE_RISK_SET,60349,30506,3206,45795,2328,13137,770,1417,108,ESTIMABLE
share,all_primary_wave_intervals,incident_hypertension,PASS_BASELINE_FREE_RISK_SET,34445,18251,4237,26435,3151,7247,975,763,111,ESTIMABLE
share,all_primary_wave_intervals,incident_any_iadl,PASS_STRICT_COMPLETE_ITEM_COUNTS,71241,35637,4363,54428,2907,15189,1265,1624,191,ESTIMABLE
share,all_primary_wave_intervals,iadl_count_increase,PASS_STRICT_COMPLETE_ITEM_COUNTS,75840,37409,5451,56738,3410,17207,1802,1895,239,ESTIMABLE
