cohort,scope,adjustment,outcome_id,exposure_model,contrast,model_status,n,people,parameters,matrix_rank,events,work_exit_retirement_n,work_exit_retirement_events,work_exit_retirement_nonevents,work_exit_no_retirement_n,work_exit_no_retirement_events,work_exit_no_retirement_nonevents,outcome_coding_status,estimate_scale,estimate,standard_error_log_scale,ci_low,ci_high,retirement_exit_rr_vs_continued_work,other_exit_rr_vs_continued_work,warnings
charls,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_RETIREMENT_NOT_MEASURED,,,,,,,,,,,,,,,,,,,,
charls,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_RETIREMENT_NOT_MEASURED,,,,,,,,,,,,,,,,,,,,
elsa,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,PASS,6834.0,3279.0,19.0,19.0,407.0,1735.0,124.0,1611.0,225.0,21.0,204.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,ratio_of_risk_ratios,1.2712638335574311,0.2210614914093793,0.8242668030639286,1.9606658044504477,1.1047755264447885,1.404461170968631,
elsa,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_EPV,7714.0,3616.0,19.0,19.0,60.0,,,,,,,PASS_SOURCE_STATUS,,,,,,,,
hrs,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,PASS,21712.0,9001.0,19.0,19.0,1247.0,4165.0,306.0,3859.0,893.0,98.0,795.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,ratio_of_risk_ratios,1.4112596963593045,0.1100673757442368,1.137410986194538,1.751041580169432,1.1174583440134374,1.5770239232665746,
hrs,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,PASS,26123.0,10450.0,19.0,19.0,645.0,5194.0,233.0,4961.0,1331.0,65.0,1266.0,PASS_SOURCE_STATUS,ratio_of_risk_ratios,1.389404473105084,0.1405313024262271,1.0548925646277194,1.829991844302824,1.6250434337563404,2.257842615851105,
klosa,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_RETIREMENT_NOT_MEASURED,,,,,,,,,,,,,,,,,,,,
klosa,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_RETIREMENT_NOT_MEASURED,,,,,,,,,,,,,,,,,,,,
mhas,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_CLUSTERS,0.0,0.0,13.0,0.0,,,,,,,,PASS_STRICT_COMPLETE_ITEM_COUNTS,,,,,,,,
mhas,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_CLUSTERS,0.0,0.0,13.0,0.0,,,,,,,,PASS_SOURCE_STATUS,,,,,,,,
share,comparable_22_30_months,full,incident_any_adl,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_WORK_EXIT_NO_RETIREMENT_EVENTS,8459.0,6661.0,16.0,16.0,279.0,2405.0,97.0,2308.0,238.0,17.0,221.0,PASS_STRICT_COMPLETE_ITEM_COUNTS,,,,,,,,
share,comparable_22_30_months,full,mortality,work_exit_phenotype,work_exit_no_retirement_minus_work_exit_retirement,NOT_EVALUABLE_WORK_EXIT_NO_RETIREMENT_EVENTS,10577.0,8231.0,16.0,16.0,180.0,3049.0,80.0,2969.0,330.0,14.0,316.0,PASS_SOURCE_STATUS,,,,,,,,
