cohort,t1,outcome_wave,scheduled_followup_months,observed_duration_n,observed_duration_p25,observed_duration_median,observed_duration_p75,provenance_status
charls,2.0,3.0,23.0,6625.0,23.0,24.0,24.0,
elsa,2.0,3.0,22.0,4978.0,20.0,22.0,23.0,
elsa,3.0,4.0,25.0,4574.0,23.0,25.0,26.0,
elsa,4.0,5.0,24.0,4785.0,23.0,24.0,26.0,
elsa,5.0,6.0,23.0,6168.0,22.0,23.0,24.0,
elsa,6.0,7.0,24.0,6157.0,23.0,24.0,25.0,
elsa,7.0,8.0,24.0,6049.0,24.0,24.0,25.0,
elsa,8.0,9.0,25.0,5807.0,24.0,25.0,26.0,
hrs,6.0,7.0,23.0,12347.0,21.0,23.0,25.0,
hrs,7.0,8.0,24.0,12146.0,22.0,24.0,26.0,
hrs,8.0,9.0,24.0,11762.0,22.0,24.0,26.0,
hrs,9.0,10.0,29.0,11197.0,25.0,29.0,31.0,
hrs,11.0,12.0,23.0,11648.0,21.0,22.0,24.0,
hrs,12.0,13.0,27.0,11076.0,24.0,26.0,29.0,
hrs,13.0,14.0,23.0,10200.0,21.0,23.0,25.0,
hrs,14.0,15.0,23.0,9603.0,22.0,24.0,26.0,
hrs,15.0,16.0,27.0,8647.0,21.0,25.0,28.0,
klosa,4.0,5.0,25.0,4704.0,24.0,24.0,25.0,
klosa,5.0,6.0,24.0,4811.0,24.0,24.0,24.0,
klosa,6.0,7.0,23.0,4863.0,23.0,24.0,24.0,
klosa,7.0,8.0,24.0,4901.0,23.0,24.0,25.0,
klosa,8.0,9.0,25.0,4962.0,24.0,24.0,25.0,
mhas,,,,,,,,NOT_APPLICABLE_NO_COMPARABLE_INTERVAL
share,4.0,5.0,24.0,10943.0,23.0,24.0,25.0,
share,5.0,6.0,24.0,21965.0,22.0,24.0,26.0,
share,6.0,7.0,25.0,29900.0,23.0,25.0,26.0,
share,8.0,9.0,26.0,27463.0,24.0,25.0,27.0,
