outcome_id,scenario,k_cohorts,cohorts,pooled_standardized_risk,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_logit_scale
incident_any_adl,withdrawal_0,3,elsa;hrs;share,0.07727168416034723,0.05280478042481672,0.11173788708109834,0.007691641589687711,0.4749921701265416,0.9747057354178955,0.026138650400945703
incident_any_adl,withdrawal_1,3,elsa;hrs;share,0.1147713170415298,0.08320424616214764,0.15627326613147274,0.016629271647511653,0.4985032233099909,0.9179308427134129,0.018826830647995563
incident_any_adl,withdrawal_2plus,3,elsa;hrs;share,0.1489253764784762,0.08583546591310219,0.24591287022108668,0.006452527946661561,0.8250149455472625,0.7587383301052751,0.046263790391910906
incident_any_iadl,withdrawal_0,3,elsa;hrs;share,0.05390365193068192,0.03889108284780543,0.07426353033354224,0.007720251159412918,0.29439479197268553,0.9621053987373437,0.018229124296561452
incident_any_iadl,withdrawal_1,3,elsa;hrs;share,0.082235156404533,0.06511403833129127,0.10336038987255053,0.021329219473128422,0.2692169208783301,0.8616182027135189,0.008951696582550406
incident_any_iadl,withdrawal_2plus,3,elsa;hrs;share,0.12822410416812258,0.10401787419821476,0.15707587549083182,0.06814922309121736,0.2282828345141028,0.0,4.2300630066830894e-13
mortality,withdrawal_0,4,elsa;hrs;klosa;share,0.028463533991565856,0.012651574385760377,0.06278074916094473,0.002415342343383533,0.26172653433398957,0.9946379144623785,0.2682543055597129
mortality,withdrawal_1,4,elsa;hrs;klosa;share,0.0515886799296131,0.02301146712316446,0.11160111528833895,0.004377087180624619,0.402276902024022,0.9896409034338326,0.27263177106265785
mortality,withdrawal_2plus,4,elsa;hrs;klosa;share,0.09869897230066513,0.04597000493250351,0.1992763145946951,0.010127707024533219,0.5396096910821568,0.9236405192588474,0.23700033049396665
multimorbidity_progression,withdrawal_0,4,elsa;hrs;klosa;share,0.1418919420860868,0.08638005212374285,0.22431928472706086,0.029699962579228675,0.4718126881924407,0.9964165839158705,0.12283973776153426
multimorbidity_progression,withdrawal_1,4,elsa;hrs;klosa;share,0.15552553824778184,0.08789414969258523,0.2603430551315713,0.025525789008433507,0.5642428600943933,0.9914170997836289,0.1640384799462804
multimorbidity_progression,withdrawal_2plus,4,elsa;hrs;klosa;share,0.17854136642692603,0.09001236289257869,0.3232144249399406,0.021668952410667505,0.6807987828818175,0.9235938542145218,0.22052471981029192
