cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,outcome_coding_status,scenario,model_status,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509,5725,161,5564,427,21,406,PASS_SOURCE_STATUS,withdrawal_0,PASS,0.014654736407935295,0.0007808942351059521,0.013124211831392675,0.016185260984477916,22775,327,0.014357848518111964,,,,,
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509,5725,161,5564,427,21,406,PASS_SOURCE_STATUS,withdrawal_1,PASS,0.02600100888303054,0.002014627832201662,0.02205241088966328,0.0299496068763978,5725,161,0.02812227074235808,,0.011346272475095245,0.00218087817809335,0.007071829791362949,0.015620715158827542
elsa,comparable_22_30_months,full,mortality,score_categorical,28927,8865,19,19,509,5725,161,5564,427,21,406,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,0.05014090831598788,0.010528066777688345,0.029506276604886063,0.07077554002708969,427,21,0.04918032786885246,,0.03548617190805259,0.010586562644835533,0.014736890404097844,0.056235453412007336
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200,4172,528,3644,290,48,242,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.0871784827467348,0.0021887965790739683,0.08288852028226534,0.09146844521120426,18556,1624,0.0875188618236689,,,,,
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200,4172,528,3644,290,48,242,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.12843480723432846,0.005316420869262887,0.11801481380391607,0.13885480066474085,4172,528,0.12655800575263662,,0.04125632448759366,0.0056919991933496086,0.030100211068597386,0.05241243790658993
elsa,comparable_22_30_months,full,incident_any_adl,score_categorical,23018,7512,19,19,2200,4172,528,3644,290,48,242,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.1783576673393326,0.023810361975208746,0.13169021540906145,0.22502511926960372,290,48,0.16551724137931034,,0.09117918459259779,0.023906736038438677,0.04432284296935221,0.13803552621584336
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402,4747,373,4374,329,34,295,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.04811661249644727,0.001537071802159155,0.04510400712256325,0.051129217870331284,20457,995,0.04863860781150706,,,,,
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402,4747,373,4374,329,34,295,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.08102474145314499,0.004051237509480041,0.07308446184174637,0.08896502106454361,4747,373,0.07857594270065305,,0.03290812895669772,0.004286466115314702,0.024506809749729592,0.04130944816366586
elsa,comparable_22_30_months,full,incident_any_iadl,score_categorical,25533,7910,19,19,1402,4747,373,4374,329,34,295,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.12675985423294803,0.019968390029887133,0.08762252894512054,0.1658971795207755,329,34,0.1033434650455927,,0.07864324173650075,0.020039033356898314,0.039367458071983275,0.11791902540101823
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652,5346,750,4596,389,65,324,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,0.12886076226990908,0.0022561690671598095,0.12443875215524253,0.13328277238457564,21749,2837,0.13044277897834383,,,,,
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652,5346,750,4596,389,65,324,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,0.14637769217799482,0.00502611896046433,0.13652668003347085,0.15622870432251879,5346,750,0.14029180695847362,,0.017516929908085732,0.005618372595100725,0.006505121969961471,0.028528737846209993
elsa,comparable_22_30_months,full,multimorbidity_progression,score_categorical,27484,8313,19,19,3652,5346,750,4596,389,65,324,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,0.18507755608634452,0.020724493302624453,0.14445829561535903,0.22569681655733,389,65,0.16709511568123395,,0.056216793816435434,0.02087696391621324,0.015298696434115203,0.09713489119875567
