cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,outcome_coding_status,scenario,model_status,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554,19936,1895,18041,2246,288,1958,PASS_SOURCE_STATUS,withdrawal_0,PASS,0.04914618106767178,0.0009424027456184213,0.04729910562732802,0.05099325650801555,50603,2371,0.04685492954963145,,,,,
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554,19936,1895,18041,2246,288,1958,PASS_SOURCE_STATUS,withdrawal_1,PASS,0.0844101705148583,0.0018063307716892317,0.08086982725818097,0.08795051377153563,19936,1895,0.09505417335473515,,0.03526398944718652,0.0020592824758284443,0.031227869960568293,0.03930010893380474
hrs,comparable_22_30_months,full,mortality,score_categorical,72785,21202,19,19,4554,19936,1895,18041,2246,288,1958,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,0.1545884722922769,0.008089303225235035,0.13873372931079253,0.17044321527376127,2246,288,0.12822796081923418,,0.10544229122460512,0.00818521099885988,0.08939957246097863,0.12148500998823161
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028,13419,1663,11756,1396,195,1201,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.0810810999660087,0.0014650653255648995,0.07820962469290305,0.08395257523911434,39612,3170,0.08002625467030193,,,,,
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028,13419,1663,11756,1396,195,1201,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.11799420490996929,0.002736369233687542,0.11263101976353823,0.12335739005640034,13419,1663,0.12392875773157463,,0.03691310494396059,0.003037614032631273,0.03095949084106982,0.04286671904685136
hrs,comparable_22_30_months,full,incident_any_adl,score_categorical,54427,17198,19,19,5028,13419,1663,11756,1396,195,1201,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.1600499304414367,0.010401188223014758,0.1396639761279056,0.1804358847549678,1396,195,0.13968481375358166,,0.078968830475428,0.010523540662509483,0.058343069787066645,0.09959459116378937
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600,12600,1194,11406,1268,124,1144,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.062057693870048544,0.0013221599696436764,0.05946630794774637,0.06464907979235072,37191,2282,0.06135893092414831,,,,,
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600,12600,1194,11406,1268,124,1144,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.0901930620363494,0.0025310469933756724,0.08523230108615469,0.09515382298654411,12600,1194,0.09476190476190476,,0.028135368166300856,0.002821200182225149,0.022605917415961727,0.033664818916639985
hrs,comparable_22_30_months,full,incident_any_iadl,score_categorical,51059,16396,19,19,3600,12600,1194,11406,1268,124,1144,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.12066337291766088,0.009893769194797715,0.10127194162450551,0.14005480421081626,1268,124,0.09779179810725552,,0.05860567904761234,0.009993412992821235,0.039018949499048085,0.0781924085961766
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949,16583,2739,13844,1790,323,1467,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,0.15161602727467735,0.0016836022151180434,0.14831622756875412,0.15491582698060058,44643,6887,0.15426830634141972,,,,,
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949,16583,2739,13844,1790,323,1467,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,0.17135870618539686,0.002975371600899379,0.1655270850070108,0.17719032736378293,16583,2739,0.1651691491286257,,0.019742678910719513,0.0034559849949871327,0.012969072789433895,0.02651628503200513
hrs,comparable_22_30_months,full,multimorbidity_progression,score_categorical,63016,18958,19,19,9949,16583,2739,13844,1790,323,1467,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,0.19831177383936585,0.009903740832609738,0.17890079849523205,0.21772274918349965,1790,323,0.18044692737430168,,0.0466957465646885,0.010099650994754766,0.02690079435854503,0.06649069877083197
