cohort,scope,adjustment,outcome_id,exposure_model,n,people,parameters,matrix_rank,events,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,outcome_coding_status,scenario,model_status,standardized_risk,standard_error,ci_low,ci_high,observed_n,observed_events,observed_risk,warnings,risk_difference_vs_0,risk_difference_standard_error,risk_difference_ci_low,risk_difference_ci_high
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917,11085,794,10291,1276,140,1136,PASS_SOURCE_STATUS,withdrawal_0,PASS,0.033199321905725956,0.00102169242091389,0.031196841557457194,0.03520180225399472,31316,983,0.03138970494316005,,,,,
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917,11085,794,10291,1276,140,1136,PASS_SOURCE_STATUS,withdrawal_1,PASS,0.06318581022513044,0.002178787690805727,0.05891546482119202,0.06745615562906886,11085,794,0.07162832656743347,,0.02998648831940448,0.0024457259785126396,0.025192953485465724,0.034780023153343234
share,comparable_22_30_months,full,mortality,score_categorical,43677,30506,16,16,1917,11085,794,10291,1276,140,1136,PASS_SOURCE_STATUS,withdrawal_2plus,PASS,0.11382422364059888,0.009377105724959913,0.09544543414045309,0.13220301314074467,1276,140,0.109717868338558,,0.08062490173487293,0.009491770957740587,0.06202137250819812,0.09922843096154774
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368,7431,738,6693,773,77,696,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.06513619386773886,0.001592240239659448,0.06201546034327092,0.0682569273922068,23719,1553,0.06547493570555252,,,,,
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368,7431,738,6693,773,77,696,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.09979763931778492,0.003551883993691541,0.0928360746128852,0.10675920402268463,7431,738,0.09931368591037545,,0.034661445450046055,0.003948253663498235,0.026923010467761188,0.04239988043233092
share,comparable_22_30_months,full,incident_any_adl,score_categorical,31923,22735,16,16,2368,7431,738,6693,773,77,696,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.1168124170545534,0.012477716916106676,0.09235654128969813,0.14126829281940867,773,77,0.09961190168175937,,0.05167622318681454,0.012645992367430916,0.026890533597881534,0.07646191277574756
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955,7657,569,7088,831,94,737,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_0,PASS,0.05219083730277962,0.001381487526859451,0.049483171505043784,0.05489850310051545,24520,1292,0.05269168026101142,,,,,
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955,7657,569,7088,831,94,737,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_1,PASS,0.0752885162268611,0.003011519513727624,0.06938604644121538,0.08119098601250682,7657,569,0.07431108789343084,,0.02309767892408148,0.003355146803253891,0.01652171202685916,0.0296736458213038
share,comparable_22_30_months,full,incident_any_iadl,score_categorical,33008,23329,16,16,1955,7657,569,7088,831,94,737,PASS_STRICT_COMPLETE_ITEM_COUNTS,withdrawal_2plus,PASS,0.13973947060064182,0.013079882527029883,0.1141033719256485,0.16537556927563513,831,94,0.11311672683513839,,0.0875486332978622,0.013213898670325127,0.06164986780866324,0.11344739878706114
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422,8718,1909,6809,964,227,737,PASS_STRICT_COMMON_SIX,withdrawal_0,PASS,0.20346147924046845,0.002498682020501876,0.198564152471467,0.2083588060094699,25593,5286,0.20654085101394912,,,,,
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422,8718,1909,6809,964,227,737,PASS_STRICT_COMMON_SIX,withdrawal_1,PASS,0.22649357537301804,0.004615256130425329,0.2174478395779567,0.23553931116807938,8718,1909,0.21897224133975682,,0.023032096132549584,0.005316033920463889,0.012612861107847097,0.03345133115725207
share,comparable_22_30_months,full,multimorbidity_progression,score_categorical,35275,24773,16,16,7422,8718,1909,6809,964,227,737,PASS_STRICT_COMMON_SIX,withdrawal_2plus,PASS,0.2579527565759154,0.014587502058078326,0.22936177791767795,0.28654373523415283,964,227,0.2354771784232365,,0.054491277335446925,0.014871590358667457,0.025343495839625602,0.08363905883126825
